City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,mwingi,-0.9344,38.0601,71.96,76,92,1.74,KE,1705424058
83,touros,-5.1989,-35.4608,86.65,56,74,14.34,BR,1705424059
84,lihue,21.9789,-159.3672,74.44,76,75,17.27,US,1705423843
85,inhambane,-23.865,35.3833,84.18,79,20,10.36,MZ,1705424060
86,kanniyakumari,8.0833,77.5667,76.28,73,76,9.82,IN,1705424062
87,quang ngai,15.1167,108.8,70.66,87,71,2.89,VN,1705424062
88,ribeira grande,38.5167,-28.7,61.77,77,40,23.02,PT,1705424063
89,taoudenni,22.6783,-3.9836,80.44,7,67,3.02,ML,1705424063
90,antalaha,-14.9003,50.2788,78.21,83,100,5.21,MG,1705424064
91,lompoc,34.6391,-120.4579,59.92,90,100,4.61,US,1705424064
92,palikir - national government center,6.9248,158.1611,79.54,78,100,3.44,FM,1705424065
93,jackson,42.4165,-122.8345,34.75,100,100,0.0,US,1705423856
94,susanville,40.4163,-120.653,31.84,93,100,1.01,US,1705424066
95,tiksi,71.6872,128.8694,-20.72,99,98,8.01,RU,1705424066
96,tazovsky,67.4667,78.7,-31.74,99,71,7.4,RU,1705424067
97,borzya,50.3833,116.5167,-2.54,92,91,9.4,RU,1705424067
98,codrington,-38.2667,141.9667,59.7,87,92,14.38,AU,1705424068
99,qaqortoq,60.7167,-46.0333,28.24,78,100,4.45,GL,1705424068
100,nar'yan-mar,67.6713,53.087,-2.27,97,97,10.69,RU,1705424069
101,punta gorda,26.9298,-82.0454,75.22,96,100,5.75,US,1705423948
102,estevan,49.1334,-102.9842,-9.06,58,20,10.36,CA,1705424070
103,arraial do cabo,-22.9661,-42.0278,96.76,55,0,20.71,BR,1705424070
104,st. john's,47.5649,-52.7093,30.97,65,9,11.99,CA,1705424071
105,punta arenas,-53.15,-70.9167,46.51,93,75,14.97,CL,1705424072
106,kayangel,8.0823,134.7173,81.81,80,99,23.71,PW,1705424072
107,avon lake,41.5053,-82.0282,16.25,72,75,17.27,US,1705423911
108,portrush,55.1959,-6.6493,41.49,87,76,8.99,GB,1705424073
109,linhares,-19.3911,-40.0722,93.2,43,49,12.71,BR,1705424074
110,midelt,32.6852,-4.7451,57.85,19,100,12.53,MA,1705424075
111,tura,25.5198,90.2201,54.12,69,0,2.66,IN,1705424075
112,egilsstadir,65.2653,-14.3948,21.11,79,75,18.41,IS,1705424076
113,lisala,2.15,21.5167,82.69,27,65,2.13,CD,1705424076
114,ryotsu-minato,38.0833,138.4333,41.04,61,57,13.91,JP,1705424077
115,north battleford,52.7834,-108.2847,-25.51,68,0,10.36,CA,1705424077
116,kuraymah,18.55,31.85,66.69,17,72,11.25,SD,1705424078
117,orsa,54.5153,30.4053,17.11,90,100,18.12,BY,1705424079
118,iskateley,67.6803,53.1512,-2.31,97,97,10.65,RU,1705424079
119,portland,45.5234,-122.6762,22.6,67,20,12.66,US,1705424030
120,bilibino,68.0546,166.4372,-40.5,100,68,3.09,RU,1705424080
121,broken hill,-31.95,141.4333,76.26,68,100,4.65,AU,1705424081
122,ishimbay,53.4545,56.0415,13.93,84,98,16.84,RU,1705424082
123,banyuwangi,-8.2325,114.3576,76.44,91,99,0.38,ID,1705424082
124,phrae,18.0833,100.0,68.13,61,9,0.67,TH,1705424083
125,klaksvik,62.2266,-6.589,31.12,67,100,32.28,FO,1705424084
126,badger,64.8,-147.5333,10.98,88,75,3.44,US,1705424084
127,kerikeri,-35.2268,173.9474,66.9,94,93,3.02,NZ,1705424085
128,ribeira brava,32.65,-17.0667,70.43,88,97,17.6,PT,1705424085
129,glace bay,46.1969,-59.957,32.27,54,75,7.0,CA,1705423796
130,luganville,-15.5333,167.1667,79.99,87,78,3.0,VU,1705424086
131,hamilton,39.1834,-84.5333,15.24,69,40,11.5,US,1705423795
132,okha,53.5739,142.9478,-19.32,99,42,6.62,RU,1705424088
133,lindisfarne,-42.8333,147.35,65.98,72,40,4.61,AU,1705424088
134,kendari,-3.945,122.4989,77.16,89,100,2.44,ID,1705424089
135,nizhniy lomov,53.5304,43.6766,33.08,97,100,25.43,RU,1705424089
136,saipan,15.1355,145.701,75.9,88,100,13.8,MP,1705424090
137,mahibadhoo,3.7833,72.9667,80.98,71,6,5.3,MV,1705424090
138,whitehorse,60.7161,-135.0538,-5.91,73,20,4.61,CA,1705424090
139,galesong,-5.3166,119.3661,77.02,95,100,11.5,ID,1705424091
140,puerto lempira,15.2667,-83.7667,84.34,74,40,9.22,HN,1705424091
141,tafresh,34.692,50.013,38.79,45,16,5.44,IR,1705424091
142,alofi,-19.0595,-169.9187,76.89,88,100,9.22,NU,1705424091
143,pader,3.05,33.2167,82.65,37,95,5.77,UG,1705424091
144,york,40.1254,-77.0,25.83,85,100,8.05,US,1705424017
145,novyy urengoy,66.0833,76.6333,-18.26,99,89,5.06,RU,1705424092
146,mil'kovo,55.6078,37.7956,28.35,89,100,7.81,RU,1705424092
